paper/inputs/grid1000.txt
#procs,spray unweighted,lotan_shavit unweighted,linden unweighted,spray weighted,lotan_shavit weighted,linden weighted,spray bimodal,lotan_shavit bimodal,linden bimodal
1,364,350,316,601,618,484,558,538,503
2,297,279,280,436,397,342,398,376,301
4,222,250,186,282,287,224,281,287,219
8,238,259,216,303,292,273,299,277,257
10,271,272,265,326,434,302,394,322,288
16,546,355,335,444,446,373,483,552,402
20,550,447,292,455,573,370,485,524,356
21,471,478,459,503,813,354,659,391,510
32,971,363,424,438,421,417,466,620,569
40,791,290,835,458,468,730,477,425,701
60,510,285,294,496,445,644,485,511,602
64,488,262,624,972,613,541,966,361,745
80,537,246,289,971,669,470,950,364,472
paper/inputs/grid1000_undir.txt
#procs,spray unweighted,lotan_shavit unweighted,linden unweighted,spray weighted,lotan_shavit weighted,linden weighted,spray bimodal,lotan_shavit bimodal,linden bimodal
1,419,366,350,722,749,574,659,616,510
2,328,303,287,480,516,423,469,441,388
4,223,246,185,319,333,257,298,312,290
8,237,253,233,339,334,285,332,339,275
10,297,271,249,407,358,330,401,331,280
16,542,313,292,451,424,328,574,681,397
20,469,279,353,523,538,589,546,354,477
21,466,342,288,536,589,497,755,520,373
32,903,343,508,494,546,811,504,473,669
40,622,324,627,593,659,414,533,331,1016
60,906,279,386,526,575,500,594,330,418
64,1026,308,659,1117,465,1192,1054,429,406
80,1071,250,499,1127,547,763,1056,428,465
paper/inputs/roadNet-CA.txt
#procs,spray unweighted,lotan_shavit unweighted,linden unweighted,spray weighted,lotan_shavit weighted,linden weighted,spray bimodal,lotan_shavit bimodal,linden bimodal
1,1015,1065,825,1583,1571,1220,1319,1328,1177
2,748,703,597,1012,945,826,970,865,735
4,475,533,430,689,714,580,667,651,541
8,596,646,535,680,627,572,640,588,534
10,632,696,538,749,738,791,761,627,664
16,1084,1051,636,1398,1215,924,1760,1202,603
20,1421,1605,755,1585,1716,806,2054,1131,764
21,1648,1533,848,1515,1178,976,1972,1145,705
32,2320,1537,954,1394,1636,1314,1509,1433,839
40,3748,1927,865,1319,1301,1005,2442,921,759
60,2675,1004,1629,1342,860,1211,2335,973,1250
64,5849,2528,1208,1179,725,1887,1171,843,990
80,7108,1359,1139,1147,1449,1300,1261,963,1948
paper/inputs/small.txt
#procs,spray unweighted,lotan_shavit unweighted,linden unweighted,spray weighted,lotan_shavit weighted,linden weighted,spray bimodal,lotan_shavit bimodal,linden bimodal
1,1,0,,0,0,,0,0,
2,0,0,,0,0,,0,0,
4,1,1,,0,0,,0,0,
8,0,0,,0,0,,0,1,
10,1,1,,0,0,,0,0,
16,1,1,,1,1,,1,0,
20,2,0,,1,0,,1,1,
21,1,1,,1,1,15,1,0,
32,2,1,26,2,1,21,3,2,20
40,6,2,29,4,1,27,5,1,25
60,11,2,41,9,4,18,8,2,44
64,9,3,46,8,3,36,8,2,48
80,2,3,62,3,2,59,10,2,69
